,Make,Model,Fashion,Rating,Depreciation
0,mg,mg6,1,2,45
1,mg,mg3,3,2,33
2,mg,gs,4,3,31
3,mg,zs,5,3,67
4,volvo,c30,3,2,33
5,volvo,s40,3,3,35
6,volvo,v50,3,2,23
7,volvo,s60,3,3,33
8,volvo,v70,3,3,10
9,volvo,c70,3,3,31
10,volvo,s80,3,1,25
11,volvo,xc70,5,3,21
12,volvo,xc90,5,4,27
13,volvo,xc60,5,5,53
14,volvo,v60,1,4,40
15,volvo,v40,1,3,37
16,volvo,s90,1,4,41
17,volvo,v90,1,4,43
18,nissan,micra,3,4,53
19,nissan,gt-r,4,4,26
20,nissan,qashqai,5,4,44
21,nissan,x-trail,4,3,38
22,nissan,pathfinder,4,2,22
23,nissan,pixo,3,2,35
24,nissan,juke,5,3,40
25,nissan,leaf,5,4,57
26,nissan,navara,3,4,53
27,nissan,nv200,3,3,60
28,nissan,pulsar,1,3,42
29,kia,picanto,3,4,39
30,kia,rio,3,3,36
31,kia,carens,3,3,34
32,kia,sedona,3,2,97
33,kia,sportage,5,3,54
34,kia,sorento,5,4,52
35,kia,soul,5,3,41
36,kia,venga,3,3,40
37,kia,optima,1,3,41
38,kia,niro,1,3,33
39,proton,savvy,3,2,36
40,proton,gen-2,1,1,38
41,citroen,c1,3,3,40
42,citroen,c3,3,4,19
43,citroen,c4,5,2,41
44,citroen,c5,5,2,96
45,citroen,c-crosser,5,2,35
46,citroen,c6,1,2,30
47,citroen,ds3,4,3,37
48,citroen,ds4,4,3,42
49,citroen,ds5,4,3,43
50,citroen,dispatch,3,4,35
51,citroen,berlingo,3,4,14
52,seat,ibiza,3,4,45
53,seat,leon,3,4,41
54,seat,altea,1,2,92
55,seat,toledo,1,3,54
56,seat,alhambra,3,4,40
57,seat,exeo,1,2,91
58,seat,mii,3,4,55
59,seat,ateca,5,4,22
60,mclaren,12c,4,4,18
61,mclaren,570s,4,5,29
62,mclaren,650s,4,4,14
63,mclaren,570gt,4,4,1
64,hyundai,i10,2,4,40
65,hyundai,i30,3,3,53
66,hyundai,i800,3,2,55
67,hyundai,tucson,4,3,34
68,hyundai,i20,3,3,46
69,hyundai,ix35,5,2,34
70,hyundai,ix20,3,4,29
71,hyundai,i40,1,3,37
72,hyundai,ioniq,4,3,26
73,renault,twingo,3,3,39
74,renault,clio,3,3,38
75,renault,megane,1,4,42
76,renault,scenic,1,4,47
77,renault,koleos,5,4,65
78,renault,twizy,4,2,12
79,renault,zoe,5,4,69
80,renault,captur,5,3,44
81,renault,master,3,4,89
82,renault,trafic,3,4,42
83,renault,kadjar,5,4,44
84,smart,fortwo,3,3,49
85,smart,forfour,3,3,53
86,dacia,duster,5,4,26
87,dacia,sandero,5,3,25
88,bmw,z4,3,3,16
89,bmw,x3,5,4,44
90,bmw,x5,5,3,50
91,bmw,x6,5,3,43
92,bmw,x1,5,4,30
